ind_id,site
24.0601.E1,1
24.0602.E1,1
24.0603.E1,1
24.0604.E1,1
24.0605.E1,1
24.0606.E1,1
24.0607.E1,1
24.0608.E1,1
24.0609.E1,1
24.0610.E1,1
24.0611.E1,1
24.0612.E1,1
24.0613.E1,1
24.0614.E1,1
24.0615.E1,1
24.0616.E1,1
24.0617.E1,1
24.0618.E1,1
24.0619.E1,1
24.0620.E1,1
24.0621.E1,1
24.0622.E1,1
24.0623.E1,1
24.0624.E1,1
24.0625.E1,2
24.0626.E1,2
24.0627.E1,2
24.0628.E1,2
24.0629.E1,2
24.0630.E1,2
24.0631.E1,2
24.0632.E1,2
24.0633.E1,2
24.0634.E1,2
24.0635.E1,2
24.0636.E1,2
24.0637.E1,2
24.0638.E1,2
24.0639.E1,2
24.0640.E1,2
24.0641.E1,2
24.0642.E1,2
24.0643.E1,2
24.0644.E1,2
24.0645.E1,2
24.0646.E1,2
24.0647.E1,2
24.0648.E1,2
24.0649.E1,3
24.0650.E1,3
24.0651.E1,3
24.0652.E1,3
24.0653.E1,3
24.0654.E1,3
24.0655.E1,3
24.0656.E1,3
24.0657.E1,3
24.0658.E1,3
24.0659.E1,3
24.0660.E1,3
24.0661.E1,3
24.0662.E1,3
24.0663.E1,3
24.0664.E1,3
24.0665.E1,3
24.0666.E1,3
24.0667.E1,3
24.0668.E1,3
24.0669.E1,3
24.0670.E1,3
24.0671.E1,3
24.0672.E1,3
24.0673.E1,4
24.0674.E1,4
24.0675.E1,4
24.0676.E1,4
24.0677.E1,4
24.0678.E1,4
24.0679.E1,4
24.0680.E1,4
24.0681.E1,4
24.0682.E1,4
24.0683.E1,4
24.0684.E1,4
24.0685.E1,4
24.0686.E1,4
24.0687.E1,4
24.0688.E1,4
24.0689.E1,4
24.0690.E1,4
24.0691.E1,4
24.0692.E1,4
24.0693.E1,4
24.0694.E1,4
24.0695.E1,4
24.0696.E1,4
24.0697.E1,5
24.0698.E1,5
24.0699.E1,5
24.0700.E1,5
24.0701.E1,5
24.0702.E1,5
24.0703.E1,5
24.0704.E1,5
24.0705.E1,5
24.0706.E1,5
24.0707.E1,5
24.0708.E1,5
24.0709.E1,5
24.0710.E1,5
24.0711.E1,5
24.0712.E1,5
24.0713.E1,5
24.0714.E1,5
24.0715.E1,5
24.0716.E1,5
24.0717.E1,5
24.0718.E1,5
24.0719.E1,5
24.0720.E1,5
24.0721.E1,6
24.0722.E1,6
24.0723.E1,6
24.0724.E1,6
24.0725.E1,6
24.0726.E1,6
24.0727.E1,6
24.0728.E1,6
24.0729.E1,6
24.0730.E1,6
24.0731.E1,6
24.0732.E1,6
24.0733.E1,6
24.0734.E1,6
24.0735.E1,6
24.0736.E1,6
24.0737.E1,6
24.0738.E1,6
24.0739.E1,6
24.0740.E1,6
24.0741.E1,6
24.0742.E1,6
24.0743.E1,6
24.0744.E1,6
24.0745.E1,7
24.0746.E1,7
24.0747.E1,7
24.0748.E1,7
24.0749.E1,7
24.0750.E1,7
24.0751.E1,7
24.0752.E1,7
24.0753.E1,7
24.0754.E1,7
24.0755.E1,7
24.0756.E1,7
24.0757.E1,7
24.0758.E1,7
24.0759.E1,7
24.0760.E1,7
24.0761.E1,7
24.0762.E1,7
24.0763.E1,7
24.0764.E1,7
24.0765.E1,7
24.0766.E1,7
24.0767.E1,7
24.0768.E1,7
24.0779.E1,8
24.0780.E1,8
24.0781.E1,8
24.0782.E1,8
24.0783.E1,8
24.0784.E1,8
24.0785.E1,8
24.0786.E1,8
24.0787.E1,8
24.0788.E1,8
24.0789.E1,8
24.0790.E1,8
24.0791.E1,8
24.0792.E1,8
24.0793.E1,9
24.0794.E1,9
24.0795.E1,9
24.0796.E1,9
24.0797.E1,9
24.0798.E1,9
24.0799.E1,9
24.0800.E1,9
24.0801.E1,9
24.0802.E1,9
24.0803.E1,9
24.0804.E1,9
24.0805.E1,9
24.0806.E1,9
24.0807.E1,9
24.0808.E1,9
24.0809.E1,9
24.0810.E1,9
24.0811.E1,9
24.0812.E1,9
24.0813.E1,9
24.0814.E1,9
24.0815.E1,9
24.0816.E1,9
24.0817.E1,10
24.0818.E1,10
24.0819.E1,10
24.0820.E1,10
24.0821.E1,10
24.0822.E1,10
24.0823.E1,10
24.0824.E1,10
24.0825.E1,10
24.0826.E1,10
24.0827.E1,10
24.0828.E1,10
24.0829.E1,10
24.0830.E1,10
24.0831.E1,10
24.0832.E1,10
24.0833.E1,10
24.0834.E1,10
24.0835.E1,10
24.0836.E1,10
24.0837.E1,10
24.0838.E1,10
24.0839.E1,10
24.0840.E1,10
24.0841.E1,11
24.0842.E1,11
24.0843.E1,11
24.0844.E1,11
24.0845.E1,11
24.0846.E1,11
24.0847.E1,11
24.0848.E1,11
24.0849.E1,11
24.0850.E1,11
24.0851.E1,11
24.0852.E1,11
24.0853.E1,11
24.0854.E1,11
24.0855.E1,11
24.0856.E1,11
24.0857.E1,11
24.0858.E1,11
24.0859.E1,11
24.0860.E1,11
24.0861.E1,11
24.0862.E1,11
24.0863.E1,11
24.0864.E1,11
24.0865.E1,12
24.0866.E1,12
24.0867.E1,12
24.0868.E1,12
24.0869.E1,12
24.0870.E1,12
24.0871.E1,12
24.0872.E1,12
24.0873.E1,12
24.0874.E1,12
24.0875.E1,12
24.0876.E1,12
24.0877.E1,12
24.0878.E1,12
24.0879.E1,12
24.0880.E1,12
24.0881.E1,12
24.0882.E1,12
24.0883.E1,12
24.0884.E1,12
24.0885.E1,12
24.0886.E1,12
24.0887.E1,12
24.0888.E1,12
